unrat,1,n,"dross"
abfall,1,n,"versant; the eastern versant of the highland"
abfall,1,n,"rubbish"
kehricht,1,n,"rubbish"
abfall,1,n,"garbage"
abfall,1,n,"offal"
abfall,1,n,"drop"
fallen,1,n,"drop"
sinken,1,n,"drop"
abfall,1,n,"slant"
fixieren,1,v,"solidify; stabilize; fix; immobilize waste"
fixiert,1,,"solidified; stabilized; fixed; immobilized waste"
abfallen,1,n,"decline; downgrade"
gefälle,1,n,"decline; downgrade"
abfaller,1,n,"drop dive"
abfangen,1,n,"line lockout"
abwerfen,1,n,"line lockout"
abfangen,1,n,"interception; interception of a pass (ball sports)"
abfangen,1,n,"interception; ground-controlled interception"
abfangen,1,n,"enticing away a customer"
abwerben,1,n,"enticing away a customer"
abflauen,1,n,"abatement; the abatement of the storm"
abfluss,1,n,"flowing off; flowing away; draining away"
abfluss,1,n,"effluent"
abfluss,1,n,"run-off; runoff; flow; seepage flow; urban runoff"
abfluss,1,n,"outward flow; outflow; capital outflow; outflow of goods"
abfluss,1,n,"outfall; fall"
abfluss,1,n,"plughole"
abflüsse,1,,"plugholes"
abfluss,1,n,"outlet; on the outlet from the lake"
abflüsse,1,,"outlets"
rinne,1,n,"sluice"
rinnen,1,,"sluices"
abfluss,1,n,"waste pipe; drainpipe"
abflüsse,1,,"waste pipes; drainpipes"
abformen,1,n,"moulding; molding; duplicate moulding; duplicate molding"
nachguss,1,n,"second cast"
abfrage,1,n,"query; interrogation; conduct a query"
abfrage,1,n,"request; PIN request"
laxans,1,n,"laxative"
laxativ,1,n,"laxative"
abfüller,1,n,"bottling company; bottler"
abfüller,1,,"bottling companies; bottlers"
abfuhr,1,n,"removal"
behebung,1,n,"removal"
umzug,1,n,"removal"
abfuhr,1,n,"put-down"
abfuhr,1,n,"rejection"
korb,1,n,"rejection; be rejected; get dumped; get turned down (by sb.); reject sb.; turn sb. down"
abfunken,1,n,"spark test"
abgabe,1,n,"tax; any other duties and taxes"
steuer,1,n,"tax"
abgaben,1,,"taxes; any other duties and taxes"
steuern,1,,"taxes"
abgabe,1,n,"duty; charge; levy; tariff; impost; imposition; impose a levy on sth."
gebühr,1,n,"duty; charge; levy; tariff; impost; imposition"
abgaben,1,,"duties; charges; levies; tariffs; imposts; impositions"
gebühren,1,,"duties; charges; levies; tariffs; imposts; impositions"
abgänge,1,,"leaving; departures; exits"
abgang,1,n,"dismount"
abgang,1,n,"withdrawals"
abgang,1,n,"items disposed of"
abgang,1,n,"smelting waste"
abgänge,1,,"persons leaving"
abgang,1,n,"finish; final note; with a soft/firm tannic finish; with a mild finish/final note (alcoholic drinks)"
abgehen,1,v,"conk out; turn up your toes; kick the bucket, to bite the dust; go west; buy it; buy the farm"
abgas,1,n,"exhaust gas; exhaust; fumes"
auspuff,1,n,"exhaust gas; exhaust; fumes"
kat,1,n,"exhaust gas catalytic converter; catalytic converter; converter; catalyser"
kats,1,,"exhaust gas catalytic converters; catalytic converters; converters; catalysers"
abgehen,1,n,"departure from sth."
abgesang,1,n,"farewell"
abgesang,1,n,"abgesang"
abglanz,1,n,"reflection"
abgleich,1,n,"adjustment; balance; alignment"
gleiten,1,n,"glide; slip"
gleitung,1,n,"glide; slip"
abgott,1,n,"idol"
götze,1,n,"idol; worship false gods"
abgötter,1,,"idols"
götzen,1,,"idols; worship false gods"
abgriff,1,n,"sensing; picking-off"
abgriff,1,n,"pickup"
abgriff,1,n,"tap; listening device"
abgriffe,1,,"taps; listening devices"
abgrund,1,n,"abyss; abysm; gulf; abyss of hell"
schlund,1,n,"abyss; abysm; gulf; abyss of hell"
abgrund,1,n,"fovea"
abgründe,1,,"foveae"
abgrund,1,n,"precipice; be on the edge of a precipice; stand on the edge of a precipice"
abgründe,1,,"precipices"
abguss,1,n,"cast; impression"
gussform,1,n,"cast; impression"
abgüsse,1,,"casts; impressions"
abguss,1,n,"cast; mould"
sucht,1,n,"addiction; addiction to narcotic drugs and psychotropic substances"
sexsucht,1,n,"sexual addiction; sex addiction"
abhänger,1,n,"suspending bracket"
abhänger,1,,"suspending brackets"
traktat,1,n,"treatise; disquisition"
traktate,1,,"treatises; disquisitions"
elaborat,1,n,"screed"
erguss,1,n,"screed"
ergüsse,1,,"screeds"
abhang,1,n,"slope; the landward slope of a submarine trench; slope of the continental margin"
abhänge,1,,"slopes"
abhaspel,1,n,"pay off reel; decoiler"
abheben,1,n,"loss of adhesion"
abheben,1,n,"cut"
abhebung,1,n,"withdrawal; withdrawal at cash points/cash machines/ATMs; cash point/cash machine/ATM withdrawal"
behebung,1,n,"withdrawal; withdrawal at cash points/cash machines/ATMs; cash point/cash machine/ATM withdrawal"
abhilfe,1,n,"remedy; remedies; (in order) find a remedy"
mittel,1,n,"remedy"
rezept,1,n,"remedy; These problems do not have a simple remedy."
remedur,1,n,"remedy; (in order) find a remedy"
abhilfen,1,,"correctives"
abholtag,1,n,"pick-up day"
abholung,1,n,"collection; pick-up; collection of the goods from the station; ready for collection; awaiting collection"
abholen,1,n,"collection; pick-up"
abholzen,1,n,"deforestation; disforestation; disafforestation; forest clearance; forest clearing"
rodung,1,n,"deforestation; disforestation; disafforestation; forest clearance; forest clearing"
abhören,1,n,"interception"
abhören,1,n,"review control"
wanze,1,n,"listening device; bugging device; bug"
wanzen,1,,"listening devices; bugging devices; bugs"
abietat,1,n,"abietate"
abietin,1,n,"abietin; coniferin"
abiozön,1,n,"abiocoen; abiocen"
abifeier,1,n,"graduation party"
maturant,1,n,"A-level student; high-school senior; This school year I'm teaching A-level students / seniors."
maturand,1,n,"A-level student; high-school senior"
maturant,1,n,"secondary school leaver; high-school graduate"
maturand,1,n,"secondary school leaver; high-school graduate"
abkehr,1,n,"turning away; rebellion against social norms"
abkippen,1,n,"open dumping; crude tipping"
absud,1,n,"decoction"
sud,1,n,"decoction"
dekokt,1,n,"decoction"
abkommen,1,n,"aiming off the target"
derivat,1,n,"derivative"
derivate,1,,"derivatives"
auslösen,1,n,"disconnection; disengagement"
trennen,1,n,"disconnection; disengagement"
kühlung,1,n,"cooling; chilling"
abkürzer,1,n,"abbreviator"
abkürzer,1,,"abbreviators"
ablass,1,n,"drain"
ablader,1,n,"unloader"
ablader,1,,"unloaders"
ablation,1,n,"ablation"
ablatio,1,n,"ablation"
ablation,1,n,"ablation"
ablativ,1,n,"ablative"
ablage,1,n,"storage place; storage room"
ablagen,1,,"storage places; storage rooms"
ablage,1,n,"stacking"
kellern,1,n,"stacking"
ablage,1,n,"filing tray; tray"
ablagen,1,,"filing trays; trays"
ablagern,1,n,"deposition; laying-down; settling; alleviation; scale"
absetzen,1,n,"deposition; laying-down; settling; alleviation; scale"
sediment,1,n,"sedimentary rock; stratified rock; bedded rock; sedimentite"
ablauf,1,n,"cycle"
ablauf,1,n,"elapse"
ablaufen,1,n,"elapse"
ablauf,1,n,"sequence; course; succession; the chronological/timing sequence; the time profile; the timeline of sth.; the chronology (of past events); the chronology of the facts; the sequence of events; the succession of steps; make sure things run smoothly"
verlauf,1,n,"sequence; course; succession"
abfolge,1,n,"sequence; course; succession; the chronological/timing sequence; the time profile; the timeline of sth.; the chronology of the facts; the sequence of events; the succession of steps"
ablauf,1,n,"schedule; What is the schedule?"
abfohlen,1,n,"foaling; immediately after foaling"
abfolge,1,n,"sequence"
sequenz,1,n,"sequence"
abläufe,1,,"sequences"
ablauf,1,n,"termination"
ende,1,n,"termination"
ablauf,1,n,"drain"
abläufe,1,,"drains"
ablauf,1,n,"discharge"
abfluss,1,n,"discharge"
ablauf,1,n,"expiry; expiration; patent expiry; expiration of a deadline; expiration of a contract; lapse of a contract"
ablauf,1,n,"run-off; runoff"
ablauf,1,n,"run-off; runoff"
ablass,1,n,"indulgence"
ablauge,1,n,"spent lye; waste lye"
ablauge,1,n,"spent liquor; waste liquor"
ablaut,1,n,"vowel gradation; ablaut"
ablaute,1,,"vowel gradations"
ableben,1,n,"decease; demise"
ablegen,1,n,"delevitation"
ableger,1,n,"layer"
absenker,1,n,"layer"
senker,1,n,"layer"
ableger,1,,"layers"
absenker,1,,"layers"
senker,1,,"layers"
ableger,1,n,"offshoot"
absage,1,n,"refusal; declination; polite refusal of an invitation; meet with a refusal"
absagen,1,,"refusals; declinations"
absage,1,n,"rejection; rejectance; a rejection to a job application; a rejection of sth."
unwille,1,n,"odium"
groll,1,n,"odium; incur the odium of sb."
zorn,1,n,"odium"
abwehr,1,n,"hostility"
ableiten,1,n,"differentiation"
ableiter,1,n,"deflector"
ableiter,1,,"deflectors"
